Jacksonville,US,30.33,-81.66,9.17,69,77.76,1
Meadow Lake,CA,54.13,-108.44,13.87,30,53.6,75
Puerto Ayora,EC,-0.74,-90.35,14.99,74,82.58,20
Ribeira Grande,PT,38.52,-28.7,12.08,100,58.79,48
Udachnyy,RU,66.42,112.4,4.47,83,-4.01,0
Egvekinot,RU,66.32,-179.17,3.47,88,16.22,24
Bredasdorp,ZA,-34.53,20.04,2.24,87,53.6,0
Castro,CL,-42.48,-73.76,6.93,81,48.2,20
Ushuaia,AR,-54.81,-68.31,18.34,69,37.4,40
Ponta do Sol,BR,-20.63,-46,4.7,96,66.89,76
Yellowknife,CA,62.45,-114.38,8.05,61,47.71,75
Bluff,AU,-23.58,149.07,11.74,45,75.62,0
Nanortalik,GL,60.14,-45.24,16.67,95,31.25,20
Tahe,CN,52.34,124.71,3.58,38,29.9,24
Khatanga,RU,71.98,102.47,6.71,61,-7.45,32
Kaitangata,NZ,-46.28,169.85,5.99,71,51.01,88
Vao,EE,59.1,26.19,3.58,83,25.85,0
Grindavik,IS,63.84,-22.43,46.08,87,45.7,75
Ambalavao,MG,-21.83,46.94,2.01,89,60.41,76
Bethel,US,60.79,-161.76,9.17,74,32.49,75
Mar del Plata,AR,-46.43,-67.52,25.84,59,51.41,0
Boende,CD,-0.28,20.88,2.91,93,74.81,36
Georgetown,GY,6.8,-58.16,9.17,83,79.77,40
Hithadhoo,MV,-0.6,73.08,6.15,100,84.98,92
Carahue,CL,-38.71,-73.16,6.93,71,57.2,0
Mataura,NZ,-46.19,168.86,5.01,63,54,48
Rikitea,PF,-23.12,-134.97,16.22,100,73.73,92
Avarua,CK,-21.21,-159.78,13.87,83,82.4,100
Nivala,FI,63.93,24.96,4,71,31.51,0
Broken Hill,AU,-31.97,141.45,6.93,25,62.6,48
Albany,US,42.65,-73.75,16.11,24,66.51,75
Tuktoyaktuk,CA,69.44,-133.03,23.04,77,5,75
Saint-Philippe,CA,45.36,-73.48,20.8,67,56.73,1
Porto Velho,BR,-8.75,-63.87,1.68,78,80.6,20
Vila Franca do Campo,PT,37.72,-25.43,5.82,87,54.37,20
Busselton,AU,-33.64,115.35,19.69,63,64.96,92
Daniel Flores,CR,9.34,-83.67,1.34,79,69.77,20
Mahebourg,MU,-20.41,57.7,12.75,88,78.57,75
Cidreira,BR,-30.17,-50.22,7.61,90,72.11,56
Coos Bay,US,43.37,-124.22,9.17,93,49.62,90
Sao Caetano de Odivelas,BR,-0.75,-48.02,7.94,100,79.49,92
Tasiilaq,GL,65.61,-37.64,47.2,75,41,92
Jamestown,AU,-33.21,138.6,5.7,32,65.63,8
Dubbo,AU,-32.25,148.6,16.11,59,66.2,40
Stuttgart,DE,48.78,9.18,8.05,93,34.95,90
Paamiut,GL,61.99,-49.67,5.82,88,33.32,68
Carnarvon,ZA,-30.97,22.13,9.17,57,59.15,0
Norman Wells,CA,65.28,-126.83,12.75,86,30.2,90
Punta Arenas,CL,-53.16,-70.91,4.7,100,37.2,75
Cape Town,ZA,-33.93,18.42,6.93,82,57.34,0
Hermanus,ZA,-34.42,19.24,1.99,83,55.99,32
Chuy,UY,-33.69,-53.46,11.97,91,65.63,0
Hilo,US,19.71,-155.08,5.82,83,70.14,90
La Ronge,CA,55.1,-105.3,13.87,22,53.6,5
Kapaa,US,22.08,-159.32,17.22,65,78.21,75
Saint-Pierre,FR,48.95,4.24,4.7,86,28.81,0
Qaanaaq,GL,77.48,-69.36,3.13,91,0.29,32
Butaritari,KI,3.07,172.79,18.45,98,84.26,12
Vaini,IN,15.34,74.49,2.24,89,69.14,0
Conde,BR,-11.81,-37.61,7.94,86,80.93,92
Zharkent,KZ,44.17,80,3.47,66,28.01,0
Hovd,NO,63.83,10.7,8.05,63,31.77,0
Saldanha,PT,41.42,-6.55,3.8,91,50.51,56
Klaksvik,FO,62.23,-6.59,26.4,70,42.8,0
Dawson Creek,CA,55.76,-120.23,8.05,45,45.36,20
Srednekolymsk,RU,67.46,153.71,3.24,63,34.94,0
Chkalovsk,RU,56.76,43.24,8.95,69,35.19,0
Barrow,AR,-38.31,-60.23,6.15,55,62.39,76
Mutuipe,BR,-13.23,-39.5,6.38,87,72.65,8
New Norfolk,AU,-42.78,147.06,4.7,71,56.08,75
Bend,US,44.06,-121.32,20.8,50,48.38,20
Taoudenni,ML,22.68,-3.98,7.27,20,62.03,0
Lisala,CD,2.15,21.52,2.68,89,75.71,80
Avera,US,33.19,-82.53,8.05,74,79.77,1
Mabaruma,GY,8.2,-59.78,7.16,96,77.24,88
Black River,JM,18.03,-77.85,12.75,70,80.65,75
Pachperwa,IN,27.52,82.65,3.91,54,68.24,0
Abalak,NE,15.46,6.28,8.61,25,87.05,88
Oksfjord,NO,70.24,22.35,35.57,96,40.08,88
Longhua,CN,29.21,106.21,11.3,99,57.26,100
Hobart,AU,-42.88,147.33,4.7,71,56.08,75
Aykhal,RU,65.95,111.51,4.47,83,-4.01,0
Margate,AU,-43.03,147.26,4.7,71,56.08,75
Porbandar,IN,21.64,69.61,7.94,82,73.37,36
Camacha,PT,33.08,-16.33,1.12,87,60.8,0
Ternate,PH,14.29,120.72,9.17,74,84.06,40
Cairns,AU,-16.92,145.77,13.87,83,75.15,40
Souillac,FR,45.6,-0.6,10.29,52,41.88,0
East London,ZA,-33.02,27.91,22.48,100,72.11,80
Mayo,CA,63.59,-135.9,6.93,49,46.4,90
Coquimbo,CL,-29.95,-71.34,8.05,82,57.2,20
Williamsport,US,41.25,-77,5.82,56,68.04,1
Pisco,PE,-13.71,-76.2,20.8,30,70.16,0
Bambous Virieux,MU,-20.34,57.76,12.75,88,78.64,75
Luderitz,NA,-26.65,15.16,10.29,87,60.8,0
Suez,EG,29.97,32.54,7.49,35,65.36,56
Acurenam,GA,1.03,10.67,2.46,91,73.37,76
Gat,SN,14.69,-16.54,17.22,82,64.4,0
Pevek,RU,69.7,170.27,7.94,86,17.84,0
Nikolskoye,RU,59.7,30.79,2.24,64,32.05,0
Boyuibe,BO,-20.43,-63.28,4.92,78,75.2,40
Chaumont,FR,48.11,5.14,3.36,67,30.54,0
Vidalia,US,31.57,-91.43,18.34,88,72.88,90
Bellary,IN,15.15,76.93,2.91,86,67.52,0
Tautira,PF,-17.73,-149.15,5.82,74,85.14,75
La Libertad,PE,-16.38,-71.56,9.17,67,59,0
Shubarkuduk,KZ,49.15,56.49,2.91,81,49.97,88
Rancho Palos Verdes,US,33.75,-118.37,13.87,29,72.09,5
Breytovo,RU,58.3,37.86,11.41,77,24.23,0
Pahrump,US,36.21,-115.98,11.41,15,71.76,1
Dikson,RU,73.51,80.55,11.97,100,3.53,48
Aklavik,CA,68.22,-135.01,4.7,72,20.01,90
Lazaro Cardenas,MX,28.39,-105.62,8.05,20,68.52,40
Dharchula,IN,29.85,80.53,1.9,82,36.65,0
Longyearbyen,NO,78.22,15.63,3.36,68,26.6,75
Copiapo,CL,-27.37,-70.33,13.87,77,59,0
Chokurdakh,RU,70.62,147.9,4.59,100,19.46,68
Tuatapere,NZ,-46.13,167.69,5.01,63,54,80
Port Alfred,ZA,-33.59,26.89,5.01,90,64.99,92
Atuona,PF,-9.8,-139.03,11.86,100,82.73,36
Hohhot,CN,40.81,111.65,4.47,50,28.4,0
Muravlenko,RU,63.79,74.5,18.12,83,7.49,68
Eydhafushi,MV,5.1,73.07,1.9,100,85.43,92
Cacule,BR,-14.5,-42.22,8.39,84,73.55,12
Tiksi,RU,71.64,128.87,10.18,85,13.43,76
Calama,CL,-22.46,-68.93,10.29,8,66.2,0
Selenginsk,RU,52.01,106.87,6.71,74,28.4,0
Okhotsk,RU,59.36,143.24,14.99,83,28.28,88
Coahuayana,MX,18.62,-100.35,2.24,15,81.83,20
Ilulissat,GL,69.22,-51.1,5.37,75,27.2,0
Konevo,BG,41.67,25.61,5.03,92,54,100
Atambua,ID,-9.11,124.89,4.7,100,79.67,24
Ewa Beach,US,21.32,-158.01,13.87,57,80.8,75
Talnakh,RU,69.49,88.39,15.66,84,5,48
Sinjar,SY,35.59,37,3.8,55,56.99,8
Narsaq,GL,60.91,-46.05,9.17,64,37.4,20
Hamilton,CA,43.26,-79.87,10.29,64,53.91,75
Tura,IN,25.52,90.21,2.13,97,68.15,56
Bull Savanna,JM,17.89,-77.59,8.16,63,79.22,0
Kodiak,US,39.95,-94.76,13.87,8,53.11,1
Udalguri,IN,26.75,92.1,1.68,76,60.68,56
Neuquen,AR,-38.95,-68.06,14.99,16,68,0
Arman,RU,59.7,150.17,3.69,66,31.97,8
Atar,MR,20.52,-13.05,5.14,28,60.14,0
Honiara,SB,-9.43,159.96,6.93,79,86,75
Laguna,MX,27.52,-110.01,17.22,30,80.6,5
Paita,PE,-5.09,-81.11,8.05,62,78.32,0
Sitka,US,37.17,-99.65,3,38,51.01,64
Port-Gentil,GA,-0.72,8.78,4.7,94,80.6,75
Husavik,CA,50.56,-96.99,4,29,50.54,0
Kihei,US,20.76,-156.45,21.92,54,75.79,40
Cape Canaveral,US,28.41,-80.6,16.11,65,78.84,1
Upernavik,GL,72.79,-56.15,25.84,100,16.67,92
Mold,GB,53.17,-3.14,14.99,69,37.38,0
Saskylakh,RU,71.97,114.09,3.69,79,1.55,44
Chumikan,RU,54.72,135.31,8.95,62,32.15,24
Vadso,NO,70.07,29.75,38.03,74,37.4,76
Leo,BF,11.1,-2.1,7.72,34,84.17,36
Yaan,NG,7.38,8.57,6.71,91,76.34,68
Acapulco,MX,16.86,-99.88,10.29,74,80.6,40
Puerto Colombia,CO,10.99,-74.96,17.22,78,82.18,75
Mazamari,PE,-11.33,-74.53,1.23,94,67.97,12
Amahai,ID,-3.31,129,3.13,80,84.99,68
Balabac,PH,7.99,117.06,9.62,99,83.72,0
Lanciano,IT,42.23,14.39,4.7,87,49.39,92
Lebu,ET,8.96,38.73,6.93,77,59,75
Vestmannaeyjar,IS,63.44,-20.27,41.72,92,44.66,92
Haines Junction,CA,60.75,-137.51,2.8,51,34.76,76
Jumla,NP,29.28,82.18,2.57,82,29.99,0
Stepnyak,KZ,52.83,70.79,6.6,73,39.17,0
Thompson,CA,55.74,-97.86,10.29,17,53.6,20
Yanam,IN,16.73,82.22,4.59,88,79.04,0
Buritizeiro,BR,-17.37,-44.96,4.14,82,74.99,92
Itarare,BR,-24.11,-49.33,7.38,61,71.12,68
Khani,GE,41.96,42.96,5.82,87,48.2,0
Matara,PE,-13.74,-72.9,2.13,51,51.86,12
Pierre,US,44.37,-100.35,4.7,74,38.93,1
Pandan,PH,11.72,122.09,14.99,96,82.46,44
Tilichiki,RU,60.47,166.1,8.05,87,29.27,0
Goma,CD,-1.67,29.23,2.46,100,57.35,56
Krasnyy Chikoy,RU,50.36,108.75,5.37,36,41.87,0
Pitimbu,BR,-7.47,-34.81,1.12,94,77,20
Olbia,IT,40.92,9.49,11.41,87,53.6,0
Cherskiy,RU,68.75,161.3,4.14,74,27.02,8
Tomohon,ID,1.33,124.84,2.24,88,78.8,20
Camargo,MX,27.69,-105.17,13.31,13,69.95,0
Erenhot,CN,43.65,111.97,12.86,38,38.72,0
Srandakan,ID,-7.94,110.25,3.58,97,75.08,68
Dingle,PH,11,122.67,8.39,90,78.77,8
Bonavista,CA,48.65,-53.11,3,64,37.99,56
Faya,SA,18.39,42.45,2.35,76,58.14,0
Geraldton,CA,49.72,-86.95,9.17,44,37.4,20
Changde,CN,29.04,111.68,7.94,91,61.22,92
Maragogi,BR,-9.01,-35.22,5.26,94,76.25,88
Praia,BR,-20.25,-43.81,4.7,61,74.14,0
Hualmay,PE,-11.1,-77.61,5.7,80,70.58,12
Grasten,DK,54.92,9.6,14.99,74,37.11,24
Homer,US,59.64,-151.54,8.05,75,43.11,90
Macau,BR,-5.11,-36.64,5.37,96,74.36,80
Mount Gambier,AU,-37.83,140.78,8.05,82,59,40
Renqiu,CN,38.71,116.1,4.7,28,56,0
Saint George,GR,39.45,22.34,3.13,100,49.17,40
Kieta,PG,-6.22,155.63,3.47,100,81.65,12
Port Elizabeth,US,39.31,-74.98,5.82,82,68.02,75
Mokrousovo,RU,55.81,66.77,12.19,83,33.77,92
Hofn,IS,64.25,-15.21,25.28,94,43.49,92
Muswellbrook,AU,-32.27,150.89,3.58,79,69.01,64
Albanel,CA,48.88,-72.44,19.46,52,41.79,75
Sisophon,KH,13.59,102.97,4.47,90,78.59,80
Ulladulla,AU,-35.36,150.48,8.05,77,63.3,90
Walvis Bay,NA,-22.95,14.51,6.93,87,58.35,0
Waingapu,ID,-9.65,120.26,3.13,97,77.42,48
Bela,PK,26.23,66.31,2.57,67,64.37,48
Cabo San Lucas,MX,22.89,-109.91,3.47,60,72.21,40
Jijiga,ET,9.35,42.8,3.91,48,70.67,92
Lorengau,PG,-2.02,147.27,6.38,100,81.83,64
San Cristobal,EC,-0.39,-78.55,6.93,46,58.89,75
Ambovombe,MG,-25.18,46.09,2.46,95,72.74,48
Bilibino,RU,68.06,166.44,3.13,68,28.1,0
Vostok,RU,46.45,135.83,2.91,71,37.01,12
Vrangel,RU,42.73,133.08,7.83,89,40.88,92
Yulara,AU,-25.24,130.99,5.82,16,73.4,0
Gravdal,NO,59.79,5.78,6.93,100,35.35,0
Ola,RU,59.58,151.3,3.8,100,25.31,56
Airai,TL,-8.93,125.41,2.13,89,73.55,24
Gari,RU,59.43,62.35,5.14,58,19.64,0
Astana,KZ,51.13,71.43,2.24,86,39.2,0
Kjollefjord,NO,70.95,27.35,23.49,90,35.75,92
Omsukchan,RU,62.53,155.8,3.69,95,25.49,0
Quelimane,MZ,-17.88,36.89,2.24,83,77,0
Ancud,CL,-41.87,-73.83,6.93,81,48.2,20
Nuuk,GL,64.17,-51.74,12.75,92,30.11,0
Bielefeld,DE,52.01,8.54,7.61,90,34.45,90
Mahina,ML,13.76,-10.85,6.26,38,75.08,0
Fortuna,ES,38.18,-1.13,4.7,66,56.28,0
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,7.27,83,69.77,48
Saint-Augustin,FR,44.83,-0.61,6.93,57,47.5,0
Sabang,PH,13.72,123.58,7.05,87,81.38,0
Katsuura,JP,33.93,134.5,11.41,76,56.53,75
Arraial do Cabo,BR,-22.97,-42.02,13.2,88,78.32,44
Sabak,MY,3.77,100.99,6.93,94,78.8,75
Mitu,IR,36.2,46.09,2.35,69,27.65,0
Nevelsk,RU,46.67,141.86,8.95,100,41,75
Tessalit,ML,20.2,1.01,9.95,18,63.29,0
Iqaluit,CA,63.75,-68.52,13.87,79,23,75
Napoleon,US,46.5,-99.77,16.11,100,46.4,0
Namibe,AO,-15.19,12.15,13.2,100,75.8,8
Torbay,CA,47.66,-52.73,18.34,47,36.68,90
Ixtapa,MX,20.71,-105.21,16.11,54,78.89,5
Victoria,BN,5.28,115.24,2.24,94,77.43,75
